Date,O3,PM2.5,PM10,AQI
28-12-2020,73,312,186,270
29-12-2020,73,312,186,250
30-12-2020,73,312,186,310
12/31/2020,73,312,186,312
12/31/2020,10,13,,91
2021-01-01,12,314,188,314
2021-01-02,53,316,191,316
2021-01-02,10,16,,92
2021-01-02,51,305,174,305
